logFC	AveExpr	t	P.Value	adj.P.Val	b	Probe.ID	gene_symbol
0.165	6.385	1.612	0.152	0.519	-5.682	10345099	1110058L19Rik
0.014	6.548	0.14	0.893	0.971	-6.919	10345101	Col9a1
0.029	9.903	0.382	0.714	0.907	-6.848	10345141	Lmbrd1
0.037	5.23	0.282	0.786	0.937	-6.886	10345172	LOC102633099
-0.024	4.405	-0.325	0.755	0.924	-6.871	10345181	Gm6462
-0.007	8.388	-0.076	0.941	0.984	-6.927	10345183	Cdk10
0.034	6.343	0.374	0.72	0.91	-6.852	10345190	Lgsn
-0.078	3.572	-0.818	0.441	0.774	-6.569	10345197	Pih1d3
0.121	4.908	0.676	0.521	0.821	-6.68	10345200	Gm6489
-0.046	9.615	-0.583	0.578	0.85	-6.742	10345203	Paox
-0.068	6.649	-0.88	0.409	0.753	-6.514	10345206	Gm7910
0.041	4.844	0.398	0.703	0.903	-6.842	10345212	Khdrbs2
-0.61	4.672	-4.216	0.004	0.101	-2.002	10345224	Gm25792
0.078	3.325	0.916	0.391	0.741	-6.482	10345226	Gm23453
-0.167	7.106	-1.47	0.186	0.56	-5.866	10345228	1700001G17Rik
-0.147	7.586	-1.811	0.114	0.46	-5.413	10345230	Rab23
-0.183	8.669	-2.545	0.039	0.295	-4.352	10345241	Dst
0.083	10.768	1.222	0.262	0.637	-6.165	10345357	Imp4
-0.064	8.747	-0.953	0.373	0.728	-6.447	10345368	Imp4
-0.085	6.62	-0.924	0.387	0.738	-6.474	10345370	Ptpn18
0	6.204	0.002	0.998	0.999	-6.931	10345387	Prss39
-0.02	6.536	-0.145	0.889	0.97	-6.919	10345393	Cfc1
0.039	5.684	0.476	0.649	0.881	-6.804	10345401	Amer3
-0.148	6.814	-1.219	0.263	0.638	-6.168	10345404	Arhgef4
-0.199	6.492	-1.925	0.096	0.432	-5.252	10345406	Arhgef4
-0.084	7.218	-0.802	0.449	0.779	-6.582	10345409	Arhgef4
-0.048	7.176	-0.669	0.525	0.823	-6.684	10345411	Arhgef4
0.075	9.334	0.867	0.415	0.758	-6.526	10345423	Plekhb2
-0.052	4.482	-0.686	0.516	0.817	-6.673	10345440	Gm25634
-0.072	10.451	-0.724	0.493	0.804	-6.644	10345442	Hs6st1
-0.212	7.63	-2.134	0.071	0.384	-4.954	10345445	Arid5a
0.154	5.944	1.075	0.319	0.687	-6.325	10345457	Fer1l5
0.016	7.349	0.188	0.856	0.962	-6.911	10345482	Cnnm4
0.172	8.367	1.928	0.096	0.432	-5.249	10345492	Cnnm3
0.135	12.091	1.43	0.197	0.57	-5.916	10345504	Cox5b
0.152	7.124	1.774	0.12	0.468	-5.464	10345509	Zap70
-0.807	6.463	-5.953	0.001	0.036	0.029	10345527	n-R5s210
-0.079	6.161	-0.82	0.44	0.773	-6.566	10345529	Vwa3b
-0.167	5.503	-1.123	0.299	0.671	-6.274	10345546	Vwa3b
-0.219	4.95	-2.568	0.038	0.291	-4.319	10345548	Vwa3b
-0.1	5.11	-1.384	0.21	0.585	-5.973	10345550	Vwa3b
-0.094	8.229	-1.005	0.349	0.711	-6.396	10345552	Vwa3b
-0.003	5.347	-0.034	0.974	0.992	-6.93	10345554	Vwa3b
-0.106	7.031	-0.752	0.477	0.795	-6.622	10345556	Vwa3b
-0.038	5.415	-0.28	0.788	0.937	-6.886	10345558	Vwa3b
-0.014	6.428	-0.204	0.844	0.957	-6.907	10345571	Cnga3
-0.091	9.12	-1.187	0.275	0.65	-6.204	10345580	Inpp4a
-0.103	9.806	-1.231	0.259	0.634	-6.154	10345608	Unc50
0.235	7.392	2.645	0.034	0.277	-4.205	10345616	Lipt1
0.08	9.947	1.166	0.283	0.657	-6.227	10345620	Mrpl30
-0.215	8.804	-2.334	0.053	0.336	-4.663	10345626	Eif5b
-0.092	5.965	-0.933	0.382	0.734	-6.466	10345656	Nms
0.007	9.363	0.084	0.936	0.983	-6.927	10345666	Pdcl3
-0.063	9.521	-0.611	0.561	0.842	-6.724	10345675	Npas2
0.101	11.667	1.479	0.184	0.557	-5.855	10345698	Rpl31
-0.009	8.114	-0.067	0.949	0.986	-6.928	10345704	Gm24826
-0.05	9.676	-0.502	0.631	0.875	-6.79	10345706	Cnot11
0.281	8.234	3.344	0.013	0.178	-3.191	10345715	Map4k4
-0.034	6.229	-0.383	0.713	0.907	-6.848	10345752	Il1r2
-0.869	10.685	-13.543	0	0.002	5.242	10345762	Il1r1
0.117	5.787	0.893	0.402	0.749	-6.503	10345777	Il1rl2
0.328	5.72	1.45	0.191	0.564	-5.891	10345791	Il1rl1
-0.245	6.166	-2.176	0.067	0.373	-4.893	10345807	Il18r1
-0.259	6.091	-3.631	0.009	0.147	-2.788	10345824	Il18rap
-0.228	6.337	-1.846	0.108	0.452	-5.364	10345840	Slc9a4
-0.262	6.012	-2.8	0.027	0.25	-3.978	10345855	Slc9a2
-0.195	6.939	-1.045	0.331	0.696	-6.355	10345869	Tmem182
-0.155	5.443	-1.456	0.19	0.563	-5.884	10345877	Gm9915
0.167	6.928	1.82	0.112	0.459	-5.399	10345879	Pou3f3
-0.036	7.982	-0.313	0.764	0.928	-6.875	10345882	Mrps9
-0.028	5.663	-0.177	0.864	0.964	-6.913	10345895	Gpr45
0.155	6.199	1.506	0.177	0.549	-5.82	10345902	8430432A02Rik
0.114	8.005	1.041	0.333	0.698	-6.36	10345904	AI597479
0.371	12.215	5.259	0.001	0.053	-0.729	10345909	Rpl29
0.032	7.478	0.278	0.79	0.937	-6.887	10345913	Nck2
-0.077	6.265	-0.808	0.446	0.777	-6.577	10345921	1500015O10Rik
0.185	8.424	1.173	0.28	0.655	-6.219	10345926	LOC102632770
-0.211	9.671	-2.767	0.028	0.256	-4.026	10345930	Tpp2
0.079	8.529	0.888	0.405	0.75	-6.507	10345967	Bivm
-0.172	8.542	-2.309	0.055	0.341	-4.7	10345981	Ercc5
0.172	5.677	1.33	0.226	0.603	-6.038	10346000	Gulp1
-0.005	7.923	-0.07	0.946	0.985	-6.928	10346015	Col3a1
0.029	6.997	0.2	0.847	0.958	-6.908	10346072	Gm23974
-0.141	8.66	-1.666	0.141	0.501	-5.61	10346074	Wdr75
-0.319	10.793	-3.576	0.009	0.152	-2.865	10346105	Rpl23a
-0.018	4.455	-0.267	0.797	0.94	-6.89	10346107	Dnah7b
-0.067	5.821	-0.536	0.609	0.865	-6.771	10346109	Dnah7b
0.003	8.262	0.033	0.975	0.992	-6.93	10346114	n-R5s211
0.177	5.251	1.796	0.116	0.463	-5.433	10346116	Dnah7c
-0.007	6.894	-0.069	0.947	0.986	-6.928	10346137	Gm8357
0.002	3.529	0.026	0.98	0.994	-6.93	10346141	C230029F24Rik
-0.3	6.403	-2.526	0.04	0.299	-4.381	10346150	Tmeff2
0.125	7.91	1.57	0.161	0.53	-5.738	10346164	Sdpr
-0.111	6.744	-0.699	0.508	0.813	-6.663	10346168	Stat4
0.326	10.899	4.262	0.004	0.097	-1.942	10346191	Stat1
-0.174	6.326	-1.57	0.161	0.53	-5.737	10346224	Tmem194b
0.086	9.666	0.643	0.541	0.832	-6.703	10346235	Hibch
0.03	5.36	0.24	0.818	0.949	-6.898	10346250	Mstn
0.309	9.164	2.565	0.038	0.291	-4.323	10346255	Ormdl1
-0.029	9.46	-0.446	0.67	0.89	-6.819	10346260	Osgepl1
0.044	5.015	0.434	0.678	0.893	-6.825	10346269	Ccdc150
-0.14	9.1	-1.405	0.204	0.578	-5.947	10346298	Coq10b
-0.069	11.85	-0.715	0.498	0.807	-6.651	10346303	Hspe1
0.013	9.723	0.156	0.881	0.967	-6.917	10346310	Mob4
0.111	4.557	0.82	0.44	0.773	-6.566	10346321	Gm10561
-0.086	7.846	-0.993	0.354	0.714	-6.408	10346323	Mars2
-0.162	8.779	-1.169	0.281	0.656	-6.224	10346328	Gm8292
-0.017	6.545	-0.181	0.862	0.963	-6.912	10346330	Plcl1
0.025	8.621	0.188	0.857	0.962	-6.911	10346337	1700066M21Rik
-0.055	7.832	-0.575	0.584	0.853	-6.747	10346340	9430016H08Rik
0.051	7.513	0.548	0.601	0.862	-6.764	10346348	Spats2l
0.4	6.614	3.738	0.008	0.138	-2.64	10346365	Sgol2
0.317	10.744	4.179	0.004	0.103	-2.05	10346374	Aox1
0.125	12.468	1.74	0.126	0.479	-5.51	10346410	Aox3
0.063	5.923	0.523	0.617	0.869	-6.778	10346448	Aox4
0.006	5.961	0.038	0.97	0.991	-6.93	10346485	Aox2
-0.081	11.262	-1.162	0.284	0.658	-6.231	10346523	Bzw1
-0.163	9.908	-1.726	0.129	0.484	-5.529	10346533	Nif3l1
0.376	8.136	3.628	0.009	0.147	-2.792	10346544	Ndufb3
-0.153	9.537	-1.569	0.161	0.53	-5.738	10346549	Cbx3
-0.081	9.353	-0.999	0.352	0.712	-6.402	10346551	Cflar
-0.133	8.235	-1.047	0.33	0.696	-6.353	10346562	Cflar
0.319	11.447	3.896	0.006	0.123	-2.426	10346564	Casp8
0.194	10.13	2.655	0.033	0.276	-4.19	10346576	Stradb
-0.028	7.164	-0.289	0.781	0.935	-6.884	10346592	G730003C15Rik
-0.081	5.839	-0.631	0.548	0.835	-6.711	10346594	Cdk15
0.268	9.127	2.214	0.063	0.363	-4.838	10346607	Fzd7
-0.072	5.815	-0.699	0.508	0.813	-6.663	10346611	Gm973
-0.458	7.994	-3.122	0.017	0.205	-3.509	10346634	Nop58
0.027	10.889	0.259	0.804	0.943	-6.893	10346651	Bmpr2
0.042	9.195	0.437	0.676	0.892	-6.824	10346668	Fam117b
-0.128	7.08	-1.553	0.165	0.535	-5.76	10346678	Carf
-0.112	9.245	-1.642	0.146	0.509	-5.642	10346695	Nbeal1
-0.18	9.478	-1.724	0.129	0.484	-5.532	10346722	Nbeal1
0.14	9.213	1.261	0.249	0.625	-6.12	10346747	Cyp20a1
-0.01	7.669	-0.135	0.896	0.972	-6.92	10346764	Abi2
-0.056	12.406	-0.805	0.448	0.778	-6.579	10346780	Eif4a1
-0.157	6.911	-1.507	0.177	0.549	-5.819	10346783	Cd28
-0.182	5.683	-2.297	0.056	0.344	-4.717	10346790	Ctla4
0.353	7.595	4.118	0.005	0.108	-2.13	10346799	Icos
-0.316	11.033	-4.121	0.005	0.107	-2.127	10346808	Rpl17-ps1
0.049	7.291	0.666	0.527	0.825	-6.687	10346810	Pard3b
0.162	7.036	1.564	0.163	0.531	-5.745	10346838	Pard3b
0.025	8.527	0.304	0.77	0.931	-6.878	10346840	Gm11599
-0.046	8.769	-0.647	0.538	0.831	-6.7	10346843	Nrp2
-0.302	10.954	-4.551	0.003	0.081	-1.575	10346867	Eef1b2
-0.061	5.142	-0.622	0.554	0.838	-6.717	10346874	Gm26457
-0.284	5.216	-1.816	0.113	0.46	-5.406	10346876	Snora41
-0.275	5.323	-2.04	0.082	0.408	-5.089	10346878	Zdbf2
-0.637	9.324	-6.99	0	0.02	1.044	10346882	Adam23
-0.114	8.338	-1.245	0.254	0.63	-6.138	10346914	Fastkd2
-0.028	4.83	-0.36	0.73	0.914	-6.858	10346928	Gm13754
0.242	4.41	2.414	0.047	0.319	-4.545	10346938	Gm13749
0.008	3.786	0.114	0.912	0.977	-6.923	10346941	Gm13750
-0.035	9.378	-0.495	0.636	0.877	-6.794	10346943	Creb1
-0.302	7.348	-2.38	0.05	0.326	-4.596	10346960	Ccnyl1
-0.081	8.681	-1.203	0.269	0.644	-6.186	10346970	Pikfyve
0.133	4.865	0.94	0.379	0.731	-6.459	10347018	Pth2r
0.053	5.523	0.558	0.594	0.859	-6.757	10347033	Crygf
0.152	6.044	1.599	0.155	0.522	-5.699	10347036	Map2
-0.098	4.39	-1.437	0.195	0.568	-5.907	10347058	Gm25411
-0.093	6.171	-0.888	0.405	0.75	-6.507	10347060	Unc80
-0.117	5.864	-1.237	0.257	0.632	-6.148	10347073	Unc80
0.016	9.6	0.163	0.875	0.966	-6.915	10347106	Rpe
0.064	3.266	0.53	0.613	0.867	-6.774	10347115	Gm26010
-0.006	13.925	-0.085	0.934	0.982	-6.926	10347117	Cps1
-0.268	4.857	-1.9	0.1	0.438	-5.289	10347158	Kif22-ps
0.02	4.848	0.255	0.806	0.944	-6.894	10347163	Spag16
-0.328	5.41	-3.025	0.02	0.218	-3.649	10347186	Gm23422
-0.022	5.19	-0.251	0.809	0.945	-6.895	10347188	Vwc2l
-0.087	9.633	-1.217	0.264	0.639	-6.17	10347193	Atic
-0.175	6.263	-1.275	0.244	0.62	-6.103	10347210	Apol7d
0.117	12.43	1.282	0.242	0.619	-6.096	10347216	Rpl21
-0.315	10.459	-1.655	0.143	0.506	-5.625	10347218	Gm25360
-0.272	11.331	-1.963	0.091	0.423	-5.199	10347220	Gm23444
-0.292	11.349	-2.042	0.081	0.407	-5.087	10347222	Gm23444
-0.272	11.331	-1.963	0.091	0.423	-5.199	10347224	Gm23444
0.075	6.023	0.906	0.396	0.745	-6.491	10347226	Tmem169
-0.103	9.457	-1.428	0.197	0.571	-5.918	10347232	Xrcc5
0.028	8.688	0.301	0.772	0.931	-6.879	10347254	Smarcal1
-0.097	11.503	-0.948	0.375	0.729	-6.452	10347273	Rpl37a
0.009	11.186	0.13	0.9	0.973	-6.921	10347277	Igfbp2
0.095	6.224	0.897	0.4	0.747	-6.499	10347282	Rufy4
0.33	7.31	2.547	0.039	0.294	-4.35	10347291	Cxcr2
-0.004	2.944	-0.048	0.963	0.989	-6.929	10347295	Gm25524
0.112	12.055	1.194	0.272	0.648	-6.197	10347297	Arpc2
0.032	7.252	0.235	0.821	0.95	-6.899	10347307	Gpbar1
0.12	10.775	1.632	0.148	0.513	-5.655	10347310	Pnkd
-0.167	6.065	-2.074	0.078	0.399	-5.041	10347324	Catip
0.099	10.118	1.046	0.331	0.696	-6.355	10347335	Slc11a1
0.029	11.67	0.29	0.78	0.935	-6.883	10347351	Ctdsp1
0.054	6.619	0.565	0.59	0.857	-6.753	10347362	Mir26b
-0.015	5.572	-0.153	0.883	0.968	-6.917	10347364	Vil1
0.018	9.865	0.238	0.818	0.949	-6.898	10347386	Rqcd1
0.021	5.724	0.225	0.829	0.953	-6.902	10347398	Plcd4
0.052	9.49	0.593	0.572	0.847	-6.736	10347417	Bcs1l
0.127	6.731	1.862	0.106	0.448	-5.342	10347427	Stk36
-0.285	8.954	-3.068	0.019	0.211	-3.586	10347460	Ttll4
-0.005	12.898	-0.071	0.946	0.985	-6.928	10347481	Cyp27a1
0.21	6.699	2.217	0.063	0.362	-4.833	10347491	Wnt6
-0.101	7.134	-1.079	0.317	0.686	-6.321	10347497	Wnt10a
0.01	7.826	0.107	0.918	0.978	-6.924	10347503	Cdk5r2
0.071	10.33	0.602	0.567	0.844	-6.73	10347508	Fam134a
-0.198	9.037	-2.725	0.03	0.263	-4.088	10347521	Zfand2b
-0.132	7.886	-1.5	0.178	0.551	-5.828	10347531	Ankzf1
0.167	11.34	2.294	0.056	0.345	-4.722	10347552	Stk16
0.043	9.68	0.543	0.605	0.863	-6.767	10347564	Dnajb2
-0.329	8.243	-2.717	0.031	0.265	-4.1	10347583	Des
0.077	6.583	0.929	0.385	0.735	-6.47	10347593	Speg
-0.081	9.893	-1.143	0.291	0.665	-6.252	10347639	Gmppa
-0.046	6.933	-0.413	0.692	0.899	-6.835	10347650	Asic4
-0.175	6.063	-2.002	0.086	0.417	-5.144	10347662	Tmem198
-0.094	6.197	-0.992	0.355	0.715	-6.409	10347669	Inha
0.26	7.563	2.684	0.032	0.27	-4.148	10347672	Stk11ip
0.075	7.067	0.422	0.686	0.896	-6.831	10347697	Slc4a3
-0.165	5.362	-1.315	0.231	0.607	-6.056	10347724	Slc4a3
0.131	4.902	0.992	0.355	0.715	-6.409	10347726	Gm5257
-0.093	7.142	-0.857	0.42	0.76	-6.534	10347732	LOC102635943
-0.135	6.453	-1.152	0.288	0.662	-6.243	10347734	Sgpp2
0.574	6.199	5.496	0.001	0.046	-0.462	10347741	Mogat1
-0.489	9.099	-5.404	0.001	0.048	-0.565	10347748	Utp14b
-0.04	6.054	-0.284	0.785	0.936	-6.885	10347767	Kcne4
0.184	4.197	1.366	0.215	0.591	-5.995	10347772	Gm10555
-0.002	7.609	-0.029	0.978	0.993	-6.93	10347774	Mrpl44
-0.034	3.442	-0.353	0.735	0.916	-6.86	10347779	9830004L10Rik
-0.086	5.24	-1.087	0.314	0.682	-6.313	10347781	Nyap2
-0.088	5.508	-0.604	0.565	0.844	-6.729	10347792	Gm9747
0.011	9.219	0.155	0.881	0.967	-6.917	10347796	Rhbdd1
-0.094	6.953	-0.906	0.396	0.745	-6.491	10347807	Col4a3
-0.077	8.337	-1.022	0.342	0.704	-6.379	10347860	n-R5s213
0.104	10.338	1.244	0.254	0.63	-6.139	10347862	Mff
0.094	10.639	1.392	0.207	0.582	-5.963	10347873	Agfg1
-0.103	6.076	-1.429	0.197	0.57	-5.917	10347888	Ccl20
-0.01	4.565	-0.103	0.921	0.979	-6.925	10347895	Daw1
0.217	9.382	3.301	0.014	0.184	-3.252	10347910	Fbxo36
0.227	9.471	1.962	0.091	0.423	-5.201	10347915	Gm7609
-0.1	12.905	-1.371	0.213	0.59	-5.989	10347917	Rpl19
0.205	6.297	1.726	0.129	0.484	-5.529	10347919	LOC102634459
-0.157	6.466	-2.244	0.061	0.356	-4.794	10347921	A530040E14Rik
0.202	9.426	1.822	0.112	0.459	-5.397	10347925	Gm7609
-0.078	7.619	-0.919	0.389	0.739	-6.478	10347928	Sp110
-0.163	6.158	-0.976	0.362	0.721	-6.424	10347931	G530012D18Rik
0.097	8.585	0.795	0.454	0.782	-6.588	10347933	Sp140
0.165	9.448	2.248	0.06	0.355	-4.789	10347948	Sp100
-0.142	6.411	-1.783	0.119	0.467	-5.451	10347968	n-R5s215
0.006	10.276	0.076	0.942	0.984	-6.927	10347970	Cab39
-0.01	10.47	-0.132	0.899	0.973	-6.921	10347980	Itm2c
0.034	6.154	0.371	0.722	0.911	-6.853	10347988	4933407L21Rik
0.153	5.38	2.157	0.069	0.378	-4.922	10347992	Spata3
0.16	9.532	1.505	0.177	0.549	-5.821	10348000	2810459M11Rik
-0.125	11.934	-1.705	0.133	0.49	-5.558	10348004	Psmd1
0.117	7.614	1.539	0.169	0.539	-5.778	10348032	Armc9
-0.05	7.127	-0.628	0.551	0.836	-6.713	10348062	B3gnt7
0.003	7.131	0.033	0.974	0.992	-6.93	10348070	C130036L24Rik
-0.227	6.751	-2.373	0.05	0.327	-4.606	10348072	C130036L24Rik
-0.043	6.881	-0.513	0.624	0.872	-6.784	10348074	1700019O17Rik
-0.089	6.275	-0.836	0.431	0.767	-6.553	10348076	Rpl30-ps9
-0.061	11.457	-0.87	0.414	0.757	-6.523	10348078	Ptma
0.068	8.866	0.961	0.369	0.726	-6.439	10348087	Cops7b
-0.008	9.131	-0.103	0.921	0.979	-6.925	10348096	Dis3l2
0	6.678	0.004	0.997	0.999	-6.931	10348131	Akp3
-0.096	6.801	-0.541	0.606	0.863	-6.768	10348144	Prss56
-0.039	6.445	-0.344	0.741	0.919	-6.864	10348150	Chrnd
0.027	6.706	0.166	0.873	0.966	-6.915	10348166	Chrng
-0.003	9.909	-0.036	0.972	0.992	-6.93	10348180	Eif4e2
0.06	5.82	0.47	0.653	0.883	-6.807	10348194	Efhd1
-0.099	9.538	-0.995	0.354	0.714	-6.406	10348201	Gigyf2
0.219	7.746	3.473	0.011	0.162	-3.009	10348234	Neu2
-0.01	5.977	-0.061	0.953	0.987	-6.928	10348240	3110079O15Rik
0.102	8.82	1.497	0.179	0.552	-5.832	10348244	Inpp5d
-0.102	9.247	-1.281	0.242	0.619	-6.097	10348277	Atg16l1
0.012	6.534	0.116	0.911	0.977	-6.923	10348299	5830472F04Rik
0.066	6.099	0.985	0.358	0.717	-6.415	10348301	Sag
0.07	7.707	0.837	0.431	0.767	-6.552	10348321	Dgkd
-0.035	12.154	-0.541	0.605	0.863	-6.768	10348354	Ugt1a2
0.074	6.421	0.693	0.511	0.814	-6.667	10348376	Mroh2a
0.083	5.277	0.835	0.432	0.768	-6.553	10348378	Trpm8
0.125	9.246	1.336	0.224	0.601	-6.032	10348410	Spp2
0.115	7.379	0.742	0.483	0.799	-6.63	10348424	Sh3bp4
-0.065	8.597	-0.883	0.407	0.752	-6.512	10348432	Agap1
-0.018	6.549	-0.101	0.922	0.979	-6.925	10348451	Ackr3
0.175	9.645	2.477	0.043	0.308	-4.453	10348456	Cops8
-0.009	6.161	-0.069	0.947	0.986	-6.928	10348468	Gm9991
0.093	7.706	1.256	0.25	0.626	-6.125	10348471	Mlph
0.083	7.144	0.933	0.383	0.734	-6.466	10348489	Prlh
-0.321	7.941	-3.777	0.007	0.134	-2.587	10348493	Lrrfip1
0.054	4.604	0.668	0.526	0.824	-6.685	10348521	Rbm44
-0.118	7.416	-1.572	0.161	0.53	-5.735	10348537	Ramp1
-0.01	8.417	-0.132	0.899	0.973	-6.921	10348547	Ube2f
-0.048	5.691	-0.263	0.8	0.941	-6.892	10348556	LOC102639127
-0.002	10.361	-0.024	0.981	0.994	-6.93	10348558	Scly
0.121	7.187	1.314	0.231	0.607	-6.057	10348570	Espnl
0.026	6.537	0.194	0.851	0.96	-6.909	10348580	Klhl30
0.092	6.796	0.914	0.392	0.741	-6.483	10348590	Fam132b
-0.106	6.593	-1.237	0.257	0.632	-6.148	10348600	Traf3ip1
0.044	7.716	0.462	0.658	0.885	-6.811	10348618	Asb1
0.077	7.069	0.867	0.415	0.758	-6.526	10348632	Twist2
-0.028	6.272	-0.282	0.787	0.937	-6.886	10348635	Olfr1413
0.02	5.85	0.17	0.87	0.965	-6.914	10348637	Olfr1412
-0.138	5.926	-1.074	0.319	0.687	-6.326	10348639	Olfr1411
-0.184	6.74	-2.049	0.08	0.405	-5.076	10348641	Olfr1410
0.043	5.15	0.194	0.852	0.96	-6.909	10348643	Olfr12
0.196	7.525	2.225	0.062	0.361	-4.822	10348645	Gpr35
0.14	8.406	2.085	0.076	0.396	-5.024	10348653	Gpc1
0.006	6.926	0.06	0.954	0.987	-6.928	10348664	Mir149
-0.018	8.348	-0.258	0.804	0.943	-6.893	10348666	Dusp28
0.008	10.101	0.111	0.915	0.978	-6.924	10348670	Rnpepl1
-0.28	8.548	-2.906	0.023	0.236	-3.823	10348682	Capn10
0.084	7.03	0.719	0.496	0.806	-6.647	10348697	Aqp12
0.031	11.721	0.458	0.661	0.886	-6.813	10348702	Agxt
-0.08	6.55	-0.835	0.432	0.768	-6.554	10348713	E030010N08Rik
-0.051	7.932	-0.595	0.571	0.846	-6.734	10348739	Sned1
-0.033	9.994	-0.286	0.783	0.936	-6.884	10348775	Ppp1r7
